Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,23153.939453,23333.179688,23118.300781,23327.460938,23327.460938,288830000
2019-01-02,23058.609375,23413.470703,22928.589844,23346.240234,23346.240234,321570000
2019-01-03,23176.390625,23176.390625,22638.410156,22686.220703,22686.220703,424240000
2019-01-04,22894.919922,23518.640625,22894.919922,23433.160156,23433.160156,396020000
2019-01-07,23474.259766,23687.740234,23301.589844,23531.349609,23531.349609,334200000
2019-01-08,23680.320313,23864.650391,23581.449219,23787.449219,23787.449219,317420000
2019-01-09,23844.269531,24084.710938,23703.160156,23879.119141,23879.119141,324570000
2019-01-10,23811.109375,24014.779297,23703.250000,24001.919922,24001.919922,338150000
2019-01-11,23940.009766,23996.320313,23798.160156,23995.949219,23995.949219,262650000
2019-01-14,23880.529297,23964.900391,23765.240234,23909.839844,23909.839844,277560000
2019-01-15,23914.109375,24099.140625,23887.929688,24065.589844,24065.589844,291570000
2019-01-16,24139.910156,24288.609375,24119.720703,24207.160156,24207.160156,302830000
2019-01-17,24147.089844,24474.460938,24088.900391,24370.099609,24370.099609,288590000
2019-01-18,24534.189453,24750.220703,24459.029297,24706.349609,24706.349609,372970000
2019-01-22,24607.759766,24607.759766,24244.310547,24404.480469,24404.480469,338480000
2019-01-23,24577.250000,24700.980469,24307.169922,24575.619141,24575.619141,318600000
2019-01-24,24579.960938,24626.300781,24422.730469,24553.240234,24553.240234,320170000
2019-01-25,24687.210938,24860.150391,24676.750000,24737.199219,24737.199219,376890000
2019-01-28,24596.980469,24596.980469,24323.939453,24528.220703,24528.220703,347170000
2019-01-29,24519.619141,24674.869141,24504.039063,24579.960938,24579.960938,330870000
2019-01-30,24826.519531,25109.619141,24790.900391,25014.859375,25014.859375,397330000
2019-01-31,24954.480469,25049.619141,24842.089844,24999.669922,24999.669922,507350000
2019-02-01,25025.310547,25193.150391,24982.490234,25063.890625,25063.890625,372090000
2019-02-04,25062.119141,25239.910156,24977.669922,25239.369141,25239.369141,298540000
2019-02-05,25287.929688,25427.320313,25287.650391,25411.519531,25411.519531,310650000
2019-02-06,25371.570313,25439.039063,25312.060547,25390.300781,25390.300781,247590000
2019-02-07,25265.810547,25314.259766,25000.519531,25169.529297,25169.529297,295460000
2019-02-08,25042.359375,25106.390625,24883.039063,25106.330078,25106.330078,248210000
2019-02-11,25142.810547,25196.750000,25009.099609,25053.109375,25053.109375,241700000
2019-02-12,25152.029297,25458.980469,25152.029297,25425.759766,25425.759766,278110000
2019-02-13,25480.859375,25625.949219,25480.859375,25543.269531,25543.269531,263330000
2019-02-14,25460.650391,25558.900391,25308.089844,25439.390625,25439.390625,313010000
2019-02-15,25564.630859,25883.720703,25564.630859,25883.250000,25883.250000,328530000
2019-02-19,25849.849609,25961.439453,25820.009766,25891.320313,25891.320313,280620000
2019-02-20,25872.259766,25986.199219,25846.480469,25954.439453,25954.439453,287880000
2019-02-21,25922.410156,25938.880859,25762.210938,25850.630859,25850.630859,255710000
2019-02-22,25906.269531,26052.900391,25906.269531,26031.810547,26031.810547,279760000
2019-02-25,26126.150391,26241.419922,26080.660156,26091.949219,26091.949219,281600000
2019-02-26,26051.609375,26155.289063,25966.009766,26057.980469,26057.980469,257850000
2019-02-27,25995.599609,26039.679688,25877.240234,25985.160156,25985.160156,255380000
2019-02-28,25984.279297,26029.210938,25896.560547,25916.000000,25916.000000,338520000
2019-03-01,26019.669922,26143.919922,25914.369141,26026.320313,26026.320313,289890000
2019-03-04,26122.189453,26155.980469,25611.550781,25819.650391,25819.650391,295510000
2019-03-05,25829.070313,25877.150391,25725.630859,25806.630859,25806.630859,252260000
2019-03-06,25818.759766,25837.609375,25633.710938,25673.460938,25673.460938,256250000
2019-03-07,25645.449219,25645.449219,25352.550781,25473.230469,25473.230469,289140000
2019-03-08,25347.380859,25466.140625,25252.460938,25450.240234,25450.240234,270500000
2019-03-11,25208.000000,25661.630859,25208.000000,25650.880859,25650.880859,309790000
2019-03-12,25600.300781,25675.439453,25522.169922,25554.660156,25554.660156,317730000
2019-03-13,25637.230469,25776.490234,25571.310547,25702.890625,25702.890625,331410000
2019-03-14,25692.310547,25752.839844,25621.310547,25709.939453,25709.939453,302790000
2019-03-15,25720.960938,25927.910156,25649.699219,25848.869141,25848.869141,616910000
2019-03-18,25801.880859,25924.769531,25785.660156,25914.099609,25914.099609,303170000
2019-03-19,25987.869141,26109.679688,25814.919922,25887.380859,25887.380859,342250000
2019-03-20,25867.789063,25929.519531,25670.630859,25745.669922,25745.669922,321980000
2019-03-21,25688.439453,26009.900391,25657.779297,25962.509766,25962.509766,335250000
2019-03-22,25844.650391,25877.009766,25501.449219,25502.320313,25502.320313,386510000
2019-03-25,25490.720703,25603.269531,25372.259766,25516.830078,25516.830078,303120000
2019-03-26,25649.560547,25796.289063,25544.779297,25657.730469,25657.730469,305110000
2019-03-27,25676.339844,25758.169922,25425.269531,25625.589844,25625.589844,270340000
2019-03-28,25693.320313,25743.410156,25576.689453,25717.460938,25717.460938,237170000
2019-03-29,25827.310547,25949.320313,25771.669922,25928.679688,25928.679688,300620000
2019-04-01,26075.099609,26280.900391,26071.689453,26258.419922,26258.419922,295570000
2019-04-02,26213.550781,26221.240234,26122.310547,26179.130859,26179.130859,250940000
2019-04-03,26238.029297,26282.169922,26138.470703,26218.130859,26218.130859,271980000
2019-04-04,26213.419922,26398.900391,26212.779297,26384.630859,26384.630859,233040000
2019-04-05,26427.560547,26487.570313,26370.820313,26424.990234,26424.990234,229550000
2019-04-08,26312.669922,26344.650391,26246.029297,26341.019531,26341.019531,229380000
2019-04-09,26243.539063,26246.339844,26103.140625,26150.580078,26150.580078,244410000
2019-04-10,26173.710938,26209.490234,26101.240234,26157.160156,26157.160156,203130000
2019-04-11,26188.210938,26229.880859,26062.589844,26143.050781,26143.050781,211680000
2019-04-12,26357.789063,26436.679688,26309.720703,26412.300781,26412.300781,369910000
2019-04-15,26407.759766,26424.849609,26316.419922,26384.769531,26384.769531,250620000
2019-04-16,26482.189453,26530.710938,26397.189453,26452.660156,26452.660156,302340000
2019-04-17,26468.529297,26501.019531,26391.859375,26449.539063,26449.539063,367780000
2019-04-18,26463.369141,26602.419922,26444.529297,26559.539063,26559.539063,332850000
2019-04-22,26510.769531,26553.050781,26458.609375,26511.050781,26511.050781,232570000
2019-04-23,26513.830078,26695.960938,26503.560547,26656.390625,26656.390625,311690000
2019-04-24,26652.560547,26680.580078,26582.859375,26597.050781,26597.050781,283370000
2019-04-25,26426.369141,26536.480469,26310.279297,26462.080078,26462.080078,296730000
2019-04-26,26454.619141,26543.560547,26392.550781,26543.330078,26543.330078,317290000
2019-04-29,26559.869141,26602.539063,26520.750000,26554.390625,26554.390625,279450000
2019-04-30,26594.560547,26614.039063,26419.470703,26592.910156,26592.910156,340320000
2019-05-01,26639.060547,26689.390625,26426.380859,26430.140625,26430.140625,303850000
2019-05-02,26407.150391,26454.689453,26180.359375,26307.789063,26307.789063,287610000
2019-05-03,26379.140625,26534.960938,26370.089844,26504.949219,26504.949219,248900000
2019-05-06,26160.619141,26476.269531,26033.949219,26438.480469,26438.480469,283020000
2019-05-07,26276.900391,26276.900391,25789.710938,25965.089844,25965.089844,334960000
2019-05-08,25933.789063,26118.099609,25889.410156,25967.330078,25967.330078,276420000
2019-05-09,25878.849609,25884.890625,25517.390625,25828.359375,25828.359375,334760000
2019-05-10,25763.720703,26019.320313,25469.859375,25942.369141,25942.369141,294580000
2019-05-13,25568.060547,25568.060547,25222.509766,25324.990234,25324.990234,361240000
2019-05-14,25384.029297,25688.960938,25384.029297,25532.050781,25532.050781,291570000
2019-05-15,25400.130859,25724.890625,25341.939453,25648.019531,25648.019531,270720000
2019-05-16,25692.140625,25957.630859,25692.140625,25862.679688,25862.679688,320960000
2019-05-17,25719.949219,25948.740234,25657.779297,25764.000000,25764.000000,283760000
2019-05-20,25655.310547,25751.710938,25560.550781,25679.900391,25679.900391,279560000
2019-05-21,25782.339844,25898.269531,25779.609375,25877.330078,25877.330078,260870000
2019-05-22,25818.460938,25878.210938,25755.109375,25776.609375,25776.609375,241760000
2019-05-23,25657.990234,25657.990234,25328.089844,25490.470703,25490.470703,316940000
2019-05-24,25551.070313,25670.810547,25496.199219,25585.689453,25585.689453,201370000
2019-05-28,25616.550781,25717.630859,25342.279297,25347.769531,25347.769531,358980000
2019-05-29,25231.460938,25231.460938,24938.240234,25126.410156,25126.410156,298930000
2019-05-30,25139.939453,25218.539063,25066.750000,25169.880859,25169.880859,215240000
